model,epoch,accuracy,loss,val_accuracy,val_loss
lr_1E-4__loss_catcrossent__met_acc,0,0.6933649182319641,0.7581776976585388,0.804548442363739,0.602576494216919
lr_1E-4__loss_catcrossent__met_acc,1,0.7677724957466125,0.5945847034454346,0.8065260648727417,0.5252114534378052
lr_1E-4__loss_catcrossent__met_acc,2,0.8113744258880615,0.489022821187973,0.7982860803604126,0.47844743728637695
lr_1E-4__loss_catcrossent__met_acc,3,0.8246445655822754,0.4361356794834137,0.8579432964324951,0.3613888919353485
lr_1E-4__loss_catcrossent__met_acc,4,0.8417061567306519,0.39770206809043884,0.7999340891838074,0.4620320200920105
lr_1E-4__loss_catcrossent__met_acc,5,0.8459715843200684,0.37653785943984985,0.8599209189414978,0.3595896363258362
lr_1E-4__loss_catcrossent__met_acc,6,0.8777251243591309,0.32418540120124817,0.8820039629936218,0.2957470417022705
lr_1E-4__loss_catcrossent__met_acc,7,0.8639810681343079,0.34510067105293274,0.892551064491272,0.28665482997894287
lr_1E-4__loss_catcrossent__met_acc,8,0.8672986030578613,0.3387363851070404,0.8648648858070374,0.34349238872528076
lr_1E-4__loss_catcrossent__met_acc,9,0.8677725195884705,0.3341289758682251,0.8882663249969482,0.26777586340904236
lr_1E-4__loss_catcrossent__met_acc,10,0.8758293986320496,0.3088831901550293,0.8948583006858826,0.26223504543304443
lr_1E-4__loss_catcrossent__met_acc,11,0.8744075894355774,0.3168293535709381,0.8948583006858826,0.2656395733356476
lr_1E-4__loss_catcrossent__met_acc,12,0.8753554224967957,0.3068607449531555,0.8760712146759033,0.3062463402748108
lr_1E-4__loss_catcrossent__met_acc,13,0.8540284633636475,0.3472369909286499,0.8981542587280273,0.26185739040374756
lr_1E-4__loss_catcrossent__met_acc,14,0.8985782265663147,0.28327396512031555,0.8938694596290588,0.28356441855430603
lr_1E-4__loss_catcrossent__met_acc,15,0.8862559199333191,0.29619643092155457,0.8879367113113403,0.2655664086341858
lr_1E-4__loss_catcrossent__met_acc,16,0.8810426592826843,0.2975134253501892,0.8876070976257324,0.2913471758365631
lr_1E-4__loss_catcrossent__met_acc,17,0.8981042504310608,0.27098679542541504,0.8941990733146667,0.26355206966400146
lr_1E-4__loss_catcrossent__met_acc,18,0.892890989780426,0.29879671335220337,0.8958470821380615,0.2829900085926056
lr_1E-4__loss_catcrossent__met_acc,19,0.8924170732498169,0.2864820659160614,0.90177983045578,0.25221073627471924
lr_1E-3__loss_catcrossent__met_acc,0,0.7099525928497314,0.749747097492218,0.6997362971305847,0.7312867045402527
lr_1E-3__loss_catcrossent__met_acc,1,0.7725118398666382,0.5845093727111816,0.8121291995048523,0.4449046850204468
